date,name,uuid,email,amount,plan,stripe_link,done,notes
8/31/2022,Koi Enterprise,cus_d9978035-33d0-4110-b438-42111fda810a,info@koienterprise.com,$178.16,Premium,https://dashboard.stripe.com/customers/cus_JikYcxa67mJCvh,,pre-paid days before his annual renewal (can we discuss this one?)
9/9/2022,Unwind Soothing Landscapes,cus_fbf3482f-56dc-4214-bbd2-2f07ee1a5e6d,coyotehillrun@gmail.com,$685.20,Standard,https://dashboard.stripe.com/customers/cus_JikUKGy14JZMIv,,
9/1/2022,Auburn Home Maintenance,cus_8504b59c-d2ec-49fd-9145-f9d708a0788d,tim@auburnhomemaintenance.com,$424.24,Business,https://dashboard.stripe.com/customers/cus_JikSGxdC29mvRD,,
9/8/2022,Green Valley Pest Control Corp.,cus_3bbb47f1-3e4e-4f2b-b1ef-7466603a6dd9,ecofriendlygreenvalleypest@gmail.com,$321.00,Business,https://dashboard.stripe.com/customers/cus_JikRfwgMvIHegi,,Renew 10/29
8/25/2022,Neighborhood Carpet Care,cus_05800509-413e-4648-80eb-c9b14433deab,ken.cheeseman@gmail.com,$348.00,Lite,https://dashboard.stripe.com/customers/cus_JikQ4dNeTZJWMN,,M to A $29
9/5/2022,Darren Lin of A Plus Computer Tech,cus_02ea0eb7-8e4f-40c2-9d30-dbcdf3a04039,darren@apluscomputertech.com,$566.00,Lite,https://dashboard.stripe.com/customers/cus_JijmPnD5BAAoDE,,invoice them in Sept. We were just getting started. We do payments now.
10/4/2022,TD Concrete Leveling LLC.,cus_3a15b198-4aef-4ee0-b144-45863ef4fd6b,tdleveling@gmail.com,$319.00,Lite,https://dashboard.stripe.com/customers/cus_JikPeDY38QDvcD,,Invoice in Sept. 
8/31/2022,Cleanest Group,cus_57b57d66-86a0-4416-b397-8112146c482a,service@noosaprestige.com.au,$564.30,Standard,https://dashboard.stripe.com/customers/cus_JikP3bBAUSQdSp,,
9/14/2022,Turbos RV Service,cus_34e2b3e4-c29a-4d86-b6f9-d08da1274037,purchasing@turbosrv.com,$522.69,Standard,https://dashboard.stripe.com/customers/cus_JikPJYKtdddpys,,
8/30/2022,Laney Electric,cus_623ad4d3-9fb2-4dbc-8dbd-611dc0ad17e3,laneyelectricllc@gmail.com,"$1,102.00",Standard,https://dashboard.stripe.com/customers/cus_JikOPSNL3faf1Q,,
10/12/2022,Appliance Service Of Lexington Inc,cus_a190668e-d0ab-412c-ad18-75dcc2bbf651,Applianceserviceoflex@hotmail.com,$293.00,Lite,https://dashboard.stripe.com/customers/cus_JikNPcOw0l6hnC,,
8/24/2022,Sweet Air Plumbing,cus_1165e9c2-6919-4ae7-adc2-8183661c6221,sweetairplumbing@hotmail.com,$412.09,Lite,https://dashboard.stripe.com/customers/cus_JikNSPzlKAsBbe,,
8/25/2022,Power to the People Electric,cus_ca553060-dd10-4991-984e-3b12451048a0,info@pttpelectric.com,"$1,785.00",Business,https://dashboard.stripe.com/customers/cus_Jik9RP12dlawzm,,
8/31/2022,Baygreen,cus_0365a750-ee3b-41b8-945d-8e2c6990793d,accounting@baygreen.com,$319.18,Premium,https://dashboard.stripe.com/customers/cus_JijvSEzCuUJssm,,
9/8/2022,CoverPro,cus_985277eb-299b-4dec-8ca0-06144a9537da,coverpro.mark@gmail.com,"$1,452.78",Premium,https://dashboard.stripe.com/customers/cus_JijnsYLEPH8eRw,,
8/28/2022,Marc Fairchild of Fairchild Property Services,cus_7256b9b9-9dc9-40ab-b884-7a7aaefe19e2,Marc@fairchildps.com,"$1,142.00",Standard,https://dashboard.stripe.com/customers/cus_JikQny7xxdDLAP,,5 Stripe links in CM?
10/27/2022,"Preferred Dental Services, LLC",cus_4f44671b-923e-42c8-8a01-6614ca8cbc2c,micky@pdsdentalequipment.com,"$1,622.00",Standard,https://dashboard.stripe.com/customers/cus_JijmDZu9nX1moJ,,<== check this one out.  Not sure abou it.
